,zip_code
8865.0,870
8759.0,866
21236.0,865
12561.0,865
10473.0,865
6066.0,865
15215.0,864
11203.0,860
20912.0,860
19140.0,859
21401.0,859
18324.0,858
11040.0,856
12496.0,854
22301.0,852
21613.0,851
926.0,851
8724.0,848
7011.0,848
19473.0,848
11001.0,847
12571.0,843
14901.0,843
15090.0,843
22046.0,843
19901.0,842
22030.0,842
2909.0,839
2893.0,839
20653.0,839
12211.0,838
11419.0,838
19038.0,837
19348.0,837
22302.0,836
21133.0,836
19808.0,834
5701.0,833
14845.0,833
11758.0,828
6040.0,828
20716.0,828
12015.0,828
15904.0,827
7652.0,827
14075.0,827
18944.0,826
11550.0,826
21078.0,826
20601.0,825
18901.0,823
7305.0,822
7013.0,822
18302.0,821
15226.0,821
6118.0,820
20705.0,818
22554.0,815
7731.0,814
12208.0,813
20613.0,812
11215.0,812
20737.0,812
11365.0,810
15207.0,810
22150.0,809
11221.0,808
17815.0,806
10305.0,805
11201.0,803
21237.0,802
2151.0,801
20886.0,797
6877.0,796
11373.0,796
2889.0,794
13104.0,793
21774.0,792
12202.0,790
18104.0,789
1420.0,786
19144.0,786
2116.0,784
21208.0,783
2118.0,782
15137.0,782
17403.0,782
6109.0,780
8873.0,779
11229.0,779
20708.0,779
12901.0,778
11520.0,777
10901.0,777
17201.0,777
10956.0,776
1247.0,774
12533.0,774
17050.0,773
8822.0,773
1040.0,771
6831.0,771
8046.0,770
7901.0,770
5641.0,769
2919.0,769
19151.0,768
17972.0,767
19711.0,767
15370.0,767
21015.0,766
2861.0,766
7407.0,766
10461.0,766
8094.0,765
21227.0,764
2301.0,763
20657.0,763
10960.0,762
12528.0,761
21704.0,760
7307.0,760
19604.0,759
10541.0,758
17402.0,756
8016.0,755
19454.0,753
6053.0,753
2920.0,751
22039.0,751
15613.0,750
16830.0,750
14830.0,749
13045.0,748
16866.0,746
20176.0,745
11050.0,745
11367.0,738
10512.0,737
20855.0,737
2155.0,737
8844.0,736
19018.0,735
15229.0,734
20905.0,733
7866.0,733
11426.0,733
15214.0,732
6457.0,732
19135.0,730
20148.0,729
11429.0,729
18015.0,729
21223.0,728
12010.0,727
6001.0,727
